Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-rbf_scale_05;0.0758;0.4730;0.1306;0.9308;0.3710;0.4878;0.4196;0.7794;0.0224;0.4095;0.0425;0.8668;0.0254;0.4449;0.0481;0.6611;0.1237;0.4538;0.1602;0.8095
OCSVM_kernel-rbf_scale_06;0.0876;0.3703;0.1417;0.9508;0.4491;0.3912;0.4154;0.8214;0.0251;0.3377;0.0468;0.9004;0.0258;0.3608;0.0481;0.7256;0.1469;0.3650;0.1630;0.8495
OCSVM_kernel-rbf_scale_07;0.0940;0.2865;0.1415;0.9621;0.5212;0.2937;0.3717;0.8389;0.0245;0.2422;0.0445;0.9249;0.0243;0.2537;0.0444;0.7904;0.1660;0.2690;0.1505;0.8790
OCSVM_kernel-rbf_scale_08;0.1108;0.1892;0.1394;0.9748;0.6428;0.1978;0.3003;0.8484;0.0254;0.1588;0.0438;0.9505;0.0209;0.1646;0.0372;0.8369;0.2000;0.1776;0.1302;0.9026
OCSVM_kernel-rbf_scale_09;0.1739;0.0946;0.1220;0.9853;0.7423;0.0975;0.1714;0.8440;0.0222;0.0754;0.0343;0.9695;0.0169;0.0872;0.0283;0.8850;0.2388;0.0887;0.0890;0.9210
OCSVM_kernel-rbf_auto_01;0.0214;0.8189;0.0417;0.5854;0.1969;0.8774;0.3216;0.3834;0.0156;0.7268;0.0306;0.6663;0.0231;0.8452;0.0449;0.3066;0.0643;0.8171;0.1097;0.4854
OCSVM_kernel-rbf_auto_02;0.0288;0.7459;0.0555;0.7213;0.2195;0.7770;0.3421;0.5038;0.0174;0.6794;0.0340;0.7207;0.0249;0.7496;0.0482;0.4292;0.0727;0.7380;0.1200;0.5938
OCSVM_kernel-rbf_auto_03;0.0402;0.6649;0.0758;0.8215;0.2576;0.6780;0.3729;0.6235;0.0195;0.5882;0.0377;0.7819;0.0257;0.6409;0.0494;0.5245;0.0857;0.6430;0.1340;0.6878
OCSVM_kernel-rbf_auto_04;0.0527;0.5595;0.0963;0.8842;0.3067;0.5886;0.4020;0.7127;0.0213;0.5089;0.0408;0.8267;0.0258;0.5470;0.0494;0.5942;0.1016;0.5510;0.1471;0.7544
OCSVM_kernel-rbf_auto_05;0.0752;0.4757;0.1298;0.9299;0.3712;0.4923;0.4215;0.7790;0.0227;0.4295;0.0431;0.8626;0.0259;0.4548;0.0490;0.6602;0.1238;0.4631;0.1609;0.8079
OCSVM_kernel-rbf_auto_06;0.0887;0.3838;0.1441;0.9499;0.4502;0.3928;0.4167;0.8217;0.0253;0.3497;0.0472;0.8978;0.0259;0.3624;0.0484;0.7259;0.1475;0.3722;0.1641;0.8488
OCSVM_kernel-rbf_auto_07;0.0918;0.2865;0.1390;0.9613;0.5159;0.2929;0.3697;0.8379;0.0252;0.2542;0.0458;0.9237;0.0241;0.2520;0.0440;0.7898;0.1642;0.2714;0.1496;0.8782
OCSVM_kernel-rbf_auto_08;0.1064;0.1892;0.1358;0.9742;0.6338;0.1986;0.3000;0.8478;0.0252;0.1628;0.0436;0.9491;0.0211;0.1663;0.0374;0.8361;0.1966;0.1792;0.1292;0.9018
OCSVM_kernel-rbf_auto_09;0.1777;0.0973;0.1253;0.9853;0.7552;0.0975;0.1717;0.8444;0.0219;0.0754;0.0339;0.9691;0.0171;0.0872;0.0286;0.8862;0.2430;0.0893;0.0899;0.9213
OCSVM_kernel-sigmoid_scale_01;0.0243;0.8730;0.0474;0.6117;0.1821;0.8867;0.3022;0.3175;0.0194;0.8377;0.0380;0.6919;0.0267;0.8849;0.0519;0.3760;0.0632;0.8706;0.1098;0.4993
OCSVM_kernel-sigmoid_scale_02;0.0439;0.7892;0.0832;0.8087;0.1958;0.7836;0.3132;0.4305;0.0210;0.7545;0.0408;0.7426;0.0318;0.7763;0.0611;0.5403;0.0731;0.7759;0.1246;0.6305
OCSVM_kernel-sigmoid_scale_03;0.0591;0.6811;0.1088;0.8771;0.2149;0.6837;0.3267;0.5351;0.0229;0.6555;0.0442;0.7949;0.0353;0.6760;0.0670;0.6382;0.0830;0.6741;0.1367;0.7114
OCSVM_kernel-sigmoid_scale_04;0.0710;0.5811;0.1264;0.9119;0.2363;0.5907;0.3371;0.6178;0.0234;0.5605;0.0448;0.8277;0.0388;0.5708;0.0726;0.7209;0.0924;0.5758;0.1452;0.7696
OCSVM_kernel-sigmoid_scale_05;0.0870;0.4865;0.1474;0.9386;0.2692;0.4920;0.3471;0.6967;0.0242;0.4766;0.0461;0.8579;0.0426;0.4737;0.0781;0.7871;0.1057;0.4822;0.1547;0.8201
OCSVM_kernel-sigmoid_scale_06;0.1144;0.4000;0.1775;0.9599;0.2969;0.3933;0.3369;0.7478;0.0249;0.3771;0.0466;0.8885;0.0448;0.3698;0.0799;0.8387;0.1202;0.3850;0.1602;0.8588
